Player Name,Team,Region,Win Rate,KDA,Cpm,Gpm,Kill Participation,Most played champ,Main role,Dpm
Pilot,Jin Air Green Wings,Korea,58.3,6.3,8.8,383.8,75.7,"Corki, Sivir, Vayne",ADC,493.5
Fury,Samsung Galaxy,Korea,33.3,3.5,8.6,378,74.1,"Sivir, Corki, Kog'maw",ADC,528.3
Sangyoon,Rebels Anarchy,Korea,27.8,2.6,8.7,372,55.3,"Lucian, Corki, Sivir",ADC,480.2
Roar,Longzhu Incredible Miracle,Korea,20,2.56,9,377.8,68.3,"Vayne, Lucian, Corki",ADC,527.8
Nuclear,SBENU SONICBOOM,Korea,5.6,2.8,8.6,359.8,71.2,"Corki, Kog'maw, Sivir",ADC,484.1
Bengi,SKTelecom T1,Korea,94.1,5.4,3,311.6,65.8,"Gragas, Rek'sai, Evelynn",Jungle,264.1
Score,KT Rolster,Korea,72.2,5.7,3,291.7,70.5,"Gragas,  Ekko, Evelynn",Jungle,209.9
Ambition,CJ ENTUS,Korea,64.7,4.2,3.4,305.9,75.7,"Reksai, Nunu, Gragas",Jungle,252
Watch,Najin e-mFire,Korea,61.1,3.9,2.9,285,71,"Rek'sai, Evelynn, Gragas",Jungle,227.6
Hojin,KOO Tigers,Korea,60,7.4,3,303.4,70.6,"Evelynn, Rek'sai, Gragas",Jungle,261.1
Chaser,Jin Air Green Wings,Korea,52.9,4.9,3.5,311.7,76,"Rek'sai, Gragas, Nidalee",Jungle,247.7
Eve,Samsung Galaxy,Korea,33.3,3.2,3.3,293,72.1,"Nidalee, Gragas, Lee Sin",Jungle,248.8
lira,Rebels Anarchy,Korea,27.8,2.6,3.5,295.9,68.9,"Gragas, Rek'sai, Lee Sin",Jungle,221
Catch,SBENU SONICBOOM,Korea,5.6,1.8,3.1,264.2,66.8,"Gragas, Rek'sai, Jarvan",Jungle,193.7
TuSin,Longzhu Incredible Miracle,Korea,20,2.7,3.1,285.2,69.4,"Gragas,  Lee Sin, Nidalee",Jungle,241
,,,,,,,,,,
Koro1,Edward Gaming,China,75,4.7,6.7,376.4,62.5,"Maokai, Gnar, Rumble",Top,475.6
ClearLove,Edward Gaming,China,74.6,7.8,3.3,327.2,72.4,"Rek'sai, Nunu, Gragas",Jungle,284.5
PawN,Edward Gaming,China,77.9,5.3,8,395.5,66.1,"Twisted Fate, Lulu, Kassadin",Mid,694.5
Deft,Edward Gaming,China,73.9,5.2,8.4,402.3,71,"Sivir, Corki, Jinx",ADC,534.5
meiko,Edward Gaming,China,74.2,4.8,0.8,275.8,69.7,"Annie, Thresh, Janna",Support,112
Flandre,Team Snake,China,54.1,3,7.2,324.5,70.6,"Maokai, Gnar, Hecarim",Top,435
Beast,Team Snake,China,53.8,3.4,2.9,312.9,72.8,"Rek'sai, Gragas, Nunu",Jungle,295.6
U,Team Snake,China,47.5,3.2,8.1,356,65.3,"Azir, Viktor, Orianna",Mid,703.2
kRYST4L,Team Snake,China,59.8,3.5,8.9,413.2,73.9,"Kalista, Sivir, Draven",ADC,643.6
Ella,Team Snake,China,54.1,3.9,0.6,228.1,76.6,"Janna, Thresh, Morgana",Support,132.3
Xiyang,OMG,China,53.7,4.1,6.3,349,69.7,"Maokai, Gnar, Hecarim",Top,432.5
juejue,OMG,China,57.9,4.1,3.1,325.5,75,"Rek'sai, Gragas, Lee Sin",Jungle,312
